OID_,_FID,Shape_Leng,fclass,_OID,HOP,POD,DIS_BUS,DIS_MTR,POI_COM,POI_SHOP,POI_SCE,POI_EDU,POI_MED,PR,TD,OPEN,CAR,GREN,ENCL,WAL,IMA,COMP,PM2_5,PM10,CO,TD_label
0,0.0,304.819,motorway,0.0,5370.999999999999,10.611111111111112,283.4360389488589,7066.279659089393,0.0,4.0,0.0,3.0,0.0,0.036531352372753,0.0,0.638146825584,0.000193400555346,0.181244999529,0.446686880429,0.0,5.4784567959e-05,1.12958159122,1.378581897114995,2.851855265369187,0.034506308957342,none
1,1.0,11.6017,motorway,1.0,5370.999999999999,7.095238095238095,231.06647425744228,6971.384252380975,0.0,0.0,0.0,0.0,0.0,0.006543761234578,0.0,0.740642501647,1.6177993223e-05,0.0182796616152,0.200973651306,0.0,0.000409229692206,0.973920804877,1.378461424271089,2.852127740684098,0.034504893213108,none
2,2.0,1132.0,motorway,2.0,5797.635258868551,4.053333333333334,632.1035689999363,7293.614830607642,0.0,4.0,0.0,3.0,0.0,0.018613005945015,0.0,0.492826530732333,0.002076420918049,0.1370457415598,0.318752118794833,0.004268957718567,0.000136777579066,1.34208403965,1.379375327163876,2.850066579815299,0.034515592105849,none
3,3.0,21.7218,motorway,3.0,8444.968450846569,0.0,729.666718599181,6784.590085778178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335933578062333,0.00446169443399,0.029684901716267,0.091922369991,0.012961140055267,0.000111284983685,1.522454810746667,1.379394934879271,2.850081038571281,0.034515409860464,none
4,4.0,288.308,primary,4.0,5371.0,8.432432432432432,87.1638363308555,6853.4499931326645,0.0,0.0,0.0,0.0,0.0,0.079523046748341,0.0,0.718486086272,0.002408723435405,0.059291691505589,0.330505410411,0.009136089249132,0.002101382417694,1.026884926493556,1.378700680149074,2.853268788938992,0.034495900259091,none
5,5.0,545.983,motorway,5.0,8634.0,1.638297872340426,450.57331251467633,6567.976063782057,1.0,0.0,0.0,0.0,0.0,0.330773051763808,0.0,0.635335899261,0.002252417874625,0.09298558982,0.1837087642865,0.0066348369272,0.000277048133942,1.18529027354,1.379858605528049,2.850013805791747,0.034513971385259,none
6,6.0,42.344,tertiary,6.0,8634.0,4.0,169.33361391203172,6325.10693239822,1.0,0.0,0.0,0.0,0.0,0.718907214064943,0.0,0.6659397355044,0.001381894766566,0.1354117152202,0.2688283761836,0.000735260285822,0.002307128906249,1.121866078302,1.379898294790042,2.850142910901896,0.034512901881396,none
7,7.0,764.491,residential,7.0,8634.0,1.649122807017544,541.9933777652261,6690.4932666177965,1.0,0.0,0.0,0.0,0.0,0.266869084869306,0.0,0.651278987157235,0.006528901682091,0.155601755597794,0.435207229185824,0.013359584226763,0.000683347187001,1.080915262952647,1.380007516222314,2.850683795507659,0.034508656271885,none
8,8.0,427.582,primary,8.0,7967.227475095205,0.707317073170732,735.6725669366142,6944.520497844856,0.0,0.0,0.0,0.0,0.0,0.005714928644448,0.0,0.58432533846325,0.004404336094373,0.031044894911683,0.212894968510017,0.013112723756833,9.9672371125e-05,1.108751815576583,1.37948332202529,2.852093750567872,0.034500921618496,none
9,9.0,23.0557,residential,9.0,7069.9363662413225,1.105263157894737,520.1951792042785,7027.932750903073,0.0,0.0,0.0,0.0,0.0,0.011284510868892,0.0,0.564681087632,0.005247736551677,0.048876291298,0.23565673395795,0.00354771258961,0.000866717602835,1.2698266815315,1.379485227444296,2.852103058526462,0.03450084845027,none
